symbol,cik,name,sector,date_added,date_removed
MWW,0001020416,,,2009-01-02*,2011-12-16
MXB,0001408198,,,2010-01-22*,2010-07-12*
MXIM,0000743316,,,2007-03-05*,2008-01-22*
NCC,0000069970,,,2007-03-05*,2009-03-07*
NCR,0000070866,,,2007-03-05*,2008-01-22*
NE,0001169055,,,2007-03-05*,2009-04-06*
NOVL,0000758004,,,2007-03-05*,2011-05-24*
NSM,0000070530,,,2007-03-05*,2011-09-23
NVLS,0000836106,,,2007-03-05*,2012-06-05
NYT,0000071691,,,2007-03-05*,2011-03-09*
NYX,0001368007,,,2008-01-22*,2013-11-13
ODP,0000800240,,,2007-03-05*,2011-03-09*
OMX,0000012978,,,2007-03-05*,2008-08-21*
PBG,0001076405,,,2007-03-05*,2010-04-03*
PCS,0001283699,,,2009-07-04*,2013-05-01
PD,0000078066,,,2007-03-05*,2008-01-22*
PGN,0001094093,,,2007-03-05*,2012-07-02
PMCS,0000767920,,,2007-03-05*,2007-11-07*
PTV,0001089976,,,2007-03-05*,2010-12-07*
Q,0001037949,,,2007-03-05*,2011-04-07*
QLGC,0000918386,,,2007-03-05*,2011-03-09*
RIG,0001451505,,,2007-03-05*,2009-03-07*
ROH,0000084792,,,2007-03-05*,2009-04-06*
RRD,0000029669,,,2007-03-05*,2012-12-11
RSH,0000096289,,,2007-03-05*,2011-06-30
RX,0001058083,,,2007-03-05*,2010-04-03*
S,0000101830,,,2007-03-05*,2013-07-08
SAF,0000086104,,,2007-03-05*,2008-09-30*
SAI,0001336920,,,2010-01-22*,2013-09-20
SAIC,0001336920,,,2013-10-08*,2013-11-03*
SANM,0000897723,,,2007-03-05*,2008-01-22*
SGP,0000310158,,,2007-03-05*,2009-12-31*
SGPPRB,0000310158,,,2009-12-31*,2010-01-22*
SHLD,0001310067,,,2007-03-05*,2012-09-05
SII,0000721083,,,2007-03-05*,2010-08-31*
SLE,0000023666,,,2007-03-05*,2012-06-29
SLM,0001032033,,,2007-03-05*,2014-04-30*
SLR,0000835541,,,2007-03-05*,2008-01-22*
SNV,0000018349,,,2007-03-05*,2008-01-22*
SOV,0000811830,,,2007-03-05*,2009-03-07*
SSP,0000832428,,,2007-03-05*,2008-08-21*
STR,0000751652,,,2007-03-05*,2010-07-20*
SUN,0000095304,,,2007-03-05*,2012-10-10
SUNW,0000709519,,,2007-03-05*,2007-09-11*
SVU,0000095521,,,2007-03-05*,2012-04-23
TEK,0000096879,,,2007-03-05*,2008-01-22*
TEL,0001385157,,,2008-01-22*,2009-04-06*
TER,0000097210,,,2007-03-05*,2013-12-20*
TEX,0000097216,,,2007-03-05*,2008-11-05*
TIE,0001011657,,,2008-01-22*,2012-12-21
TIN,0000731939,,,2007-03-05*,2008-01-22*
TLAB,0000317771,,,2007-03-05*,2011-12-29*
TRB,0000726513,,,2007-03-05*,2008-01-22*
TSG,0001020265,,,2007-03-05*,2008-01-22*
TT,0001466258,,,2007-11-28*,2008-08-21*
TXU,0001023291,,,2007-03-05*,2008-01-22*
TYC,0000833444,,,2007-03-05*,2009-07-04*
UIS,0000746838,,,2007-03-05*,2009-06-10*
UST,0000811669,,,2007-03-05*,2008-12-29*
UVN,0001017008,,,2007-03-05*,2008-01-22*
WB,0000036995,,,2007-03-05*,2009-03-07*
WEN,0000030697,,,2007-03-05*,2008-12-07*
WFMI,0000865436,,,2007-03-05*,2011-05-25*
WFR,0000945436,,,2008-01-22*,2011-12-16
WFT,0001453090,,,2007-03-05*,2009-03-07*
WM,0000933136,,,2007-03-05*,2008-09-30*
WMI,0000823768,,,2007-03-05*,2009-08-11*
WPI,0000884629,,,2007-03-05*,2013-01-24
WPO,0000104889,,,2008-01-22*,2013-12-09*
WPX,0001518832,,,2012-01-02*,2014-03-21
WWY,0000108601,,,2007-03-05*,2008-11-03*
WYE,0000005187,,,2007-03-05*,2009-10-18*
XTO,0000868809,,,2007-03-05*,2010-07-12*
